"Hostname: xiaomimi-solus"
"Phidget: 647540"
"Name: Example"
"Tag(s) or info: Just an example to feed to phidget-plot"
"Label: demo1"
"Poll rate: 0.1s"
"Program initialization: 2021-11-07 06:13:23"
"Scheduled to record until: 2021-11-07 06:43:42"
"chan0 to chan3: K-type thermocouples"
"chan4: internal temperature"

"time"	"chan0"	"chan1"	"chan2"	"chan3"	"chan4"
"2021-11-07 06:14:15.677686"	"19.998"	"21.3298"	"21.2005"	"21.3395"	"22.883"
"2021-11-07 06:14:15.778138"	"19.998"	"21.3298"	"21.2005"	"21.3395"	"22.883"
"2021-11-07 06:14:15.878795"	"19.9865"	"21.3112"	"21.1893"	"21.3395"	"22.883"
"2021-11-07 06:14:15.979126"	"19.9865"	"21.3112"	"21.1893"	"21.3259"	"22.8815"
"2021-11-07 06:14:16.079528"	"19.9915"	"21.3185"	"21.1893"	"21.3259"	"22.8815"
"2021-11-07 06:14:16.179849"	"19.9915"	"21.3185"	"21.2063"	"21.3137"	"22.8815"
"2021-11-07 06:14:16.280177"	"19.9915"	"21.3185"	"21.2063"	"21.3137"	"22.8815"
"2021-11-07 06:14:16.380388"	"19.9859"	"21.318"	"21.2033"	"21.3137"	"22.8815"
"2021-11-07 06:14:16.480708"	"19.9859"	"21.318"	"21.2033"	"21.3033"	"22.8809"
"2021-11-07 06:14:16.581078"	"19.9734"	"21.318"	"21.2033"	"21.3033"	"22.8809"
"2021-11-07 06:14:16.681370"	"19.9734"	"21.3009"	"21.1911"	"21.3277"	"22.8809"
"2021-11-07 06:14:16.781721"	"19.9734"	"21.3009"	"21.1911"	"21.3277"	"22.8809"
"2021-11-07 06:14:16.882036"	"19.9759"	"21.3033"	"21.1716"	"21.3277"	"22.8809"
"2021-11-07 06:14:16.982319"	"19.9759"	"21.3033"	"21.1716"	"21.3332"	"22.8815"
"2021-11-07 06:14:17.082616"	"19.9715"	"21.3033"	"21.1716"	"21.3332"	"22.8815"
"2021-11-07 06:14:17.182929"	"19.9715"	"21.2941"	"21.1941"	"21.299"	"22.8815"
"2021-11-07 06:14:17.283268"	"19.9715"	"21.2941"	"21.1941"	"21.299"	"22.8815"
"2021-11-07 06:14:17.383577"	"19.9823"	"21.312"	"21.2071"	"21.299"	"22.8815"
"2021-11-07 06:14:17.483914"	"19.9823"	"21.312"	"21.2071"	"21.3071"	"22.8823"
"2021-11-07 06:14:17.584223"	"19.9665"	"21.312"	"21.2071"	"21.3071"	"22.8823"
"2021-11-07 06:14:17.684524"	"19.9665"	"21.3088"	"21.1893"	"21.3234"	"22.8823"
"2021-11-07 06:14:17.785008"	"19.9665"	"21.3088"	"21.1893"	"21.3234"	"22.8794"
"2021-11-07 06:14:17.885341"	"19.9569"	"21.2994"	"21.1893"	"21.3234"	"22.8794"
"2021-11-07 06:14:17.985608"	"19.9569"	"21.2994"	"21.2067"	"21.2921"	"22.8794"
"2021-11-07 06:14:18.086061"	"19.9569"	"21.2994"	"21.2067"	"21.2921"	"22.8794"
"2021-11-07 06:14:18.186377"	"19.9769"	"21.3043"	"21.1897"	"21.3116"	"22.8794"
"2021-11-07 06:14:18.286652"	"19.9769"	"21.3043"	"21.1897"	"21.3116"	"22.8794"
"2021-11-07 06:14:18.387096"	"19.9787"	"21.2939"	"21.1897"	"21.3116"	"22.8794"
"2021-11-07 06:14:18.487380"	"19.9787"	"21.2939"	"21.1719"	"21.3085"	"22.8787"
"2021-11-07 06:14:18.587808"	"19.9787"	"21.2939"	"21.1719"	"21.3085"	"22.8787"
"2021-11-07 06:14:18.688268"	"19.9412"	"21.3012"	"21.1792"	"21.3085"	"22.8787"
"2021-11-07 06:14:18.788554"	"19.9412"	"21.3012"	"21.1792"	"21.2998"	"22.8773"
"2021-11-07 06:14:18.888892"	"19.9398"	"21.2638"	"21.1792"	"21.2998"	"22.8773"
"2021-11-07 06:14:18.989334"	"19.9398"	"21.2638"	"21.1931"	"21.2906"	"22.8779"
"2021-11-07 06:14:19.089542"	"19.9398"	"21.2638"	"21.1931"	"21.2906"	"22.8779"
"2021-11-07 06:14:19.189994"	"19.9315"	"21.2795"	"21.1698"	"21.2906"	"22.8779"
"2021-11-07 06:14:19.290455"	"19.9315"	"21.2795"	"21.1698"	"21.2893"	"22.8765"
"2021-11-07 06:14:19.390959"	"19.93"	"21.2795"	"21.1698"	"21.2893"	"22.8765"
"2021-11-07 06:14:19.491272"	"19.93"	"21.2878"	"21.1732"	"21.2756"	"22.8765"
"2021-11-07 06:14:19.591518"	"19.93"	"21.2878"	"21.1732"	"21.2756"	"22.8757"
"2021-11-07 06:14:19.692011"	"19.9182"	"21.2787"	"21.1574"	"21.2756"	"22.8757"
"2021-11-07 06:14:19.792338"	"19.9182"	"21.2787"	"21.1574"	"21.2818"	"22.8763"
"2021-11-07 06:14:19.892612"	"19.9195"	"21.2787"	"21.1574"	"21.2818"	"22.8763"
"2021-11-07 06:14:19.993044"	"19.9195"	"21.2776"	"21.1727"	"21.241"	"22.8763"
"2021-11-07 06:14:20.093363"	"19.9195"	"21.2776"	"21.1727"	"21.241"	"22.877"
"2021-11-07 06:14:20.193575"	"19.916"	"21.2888"	"21.1727"	"21.241"	"22.877"
"2021-11-07 06:14:20.293917"	"19.916"	"21.2888"	"21.1522"	"21.2888"	"22.8785"
"2021-11-07 06:14:20.394228"	"19.9116"	"21.2888"	"21.1522"	"21.2888"	"22.8785"
"2021-11-07 06:14:20.494582"	"19.9116"	"21.282"	"21.182"	"21.2642"	"22.8785"
"2021-11-07 06:14:20.595020"	"19.9116"	"21.282"	"21.182"	"21.2642"	"22.8783"
"2021-11-07 06:14:20.695361"	"19.9108"	"21.2528"	"21.182"	"21.2642"	"22.8783"
"2021-11-07 06:14:20.795639"	"19.9108"	"21.2528"	"21.1503"	"21.2503"	"22.8791"
"2021-11-07 06:14:20.896068"	"19.9108"	"21.2528"	"21.1503"	"21.2503"	"22.8791"
"2021-11-07 06:14:20.996521"	"19.9181"	"21.2738"	"21.1542"	"21.2503"	"22.8791"
"2021-11-07 06:14:21.096831"	"19.9181"	"21.2738"	"21.1542"	"21.2469"	"22.8806"
"2021-11-07 06:14:21.197281"	"19.9156"	"21.2713"	"21.1542"	"21.2469"	"22.8806"
"2021-11-07 06:14:21.297581"	"19.9156"	"21.2713"	"21.1689"	"21.264"	"22.8798"
"2021-11-07 06:14:21.397969"	"19.9156"	"21.2713"	"21.1689"	"21.264"	"22.8798"
"2021-11-07 06:14:21.498277"	"19.9223"	"21.2681"	"21.1333"	"21.264"	"22.8798"
"2021-11-07 06:14:21.598628"	"19.9223"	"21.2681"	"21.1333"	"21.2552"	"22.8791"
"2021-11-07 06:14:21.698999"	"19.9266"	"21.2681"	"21.1333"	"21.2552"	"22.8791"
"2021-11-07 06:14:21.799510"	"19.9266"	"21.2705"	"21.1559"	"21.212"	"22.8791"
"2021-11-07 06:14:21.900116"	"19.9266"	"21.2705"	"21.1559"	"21.212"	"22.8798"
"2021-11-07 06:14:22.000353"	"19.9248"	"21.2657"	"21.1461"	"21.212"	"22.8798"
"2021-11-07 06:14:22.100667"	"19.9248"	"21.2657"	"21.1461"	"21.2266"	"22.8798"
"2021-11-07 06:14:22.201142"	"19.9141"	"21.2657"	"21.1461"	"21.2266"	"22.8798"
"2021-11-07 06:14:22.301546"	"19.9141"	"21.2674"	"21.1284"	"21.225"	"22.8798"
"2021-11-07 06:14:22.402004"	"19.9141"	"21.2674"	"21.1284"	"21.225"	"22.8806"
"2021-11-07 06:14:22.502531"	"19.9156"	"21.2567"	"21.1284"	"21.225"	"22.8806"
"2021-11-07 06:14:22.603009"	"19.9156"	"21.2567"	"21.133"	"21.2183"	"22.8813"
"2021-11-07 06:14:22.703502"	"19.9163"	"21.2567"	"21.133"	"21.2183"	"22.8813"
